Durchgang;Bubblesort Zeit;Insertionsort Zeit;Mergesort Zeit;Quicksort Zeit;Selectionsort Zeit;Simplesort Zeit;
155;0,0774;0,02319;0,025298;0,02078;0,042164;0,083725;
156;0,075895;0,024093;0,026503;0,01807;0,040657;0,074991;
157;0,073485;0,024395;0,025599;0,018673;0,041862;0,089146;
158;0,075895;0,023491;0,024997;0,019274;0,041863;0,079809;
159;0,076496;0,024997;0,025901;0,019576;0,041862;0,072582;
160;0,045777;0,013553;0,014757;0,011444;0,024696;0,050898;
161;0,043669;0,014155;0,014456;0,011144;0,024695;0,048187;
162;0,078906;0,025599;0,026503;0,019576;0,042163;0,086134;
163;0,080412;0,024997;0,026503;0,019877;0,045175;0,081918;
164;0,081315;0,024395;0,026201;0,020178;0,044271;0,081014;
165;0,079508;0,024997;0,027406;0,019576;0,043971;0,084327;
166;0,082821;0,027707;0,027406;0,021082;0,044874;0,096374;
167;0,08523;0,025901;0,026201;0,020179;0,045777;0,090652;
168;0,083725;0,025298;0,025901;0,019576;0,047584;0,085833;
169;0,087339;0,027105;0,02831;0,023491;0,047283;0,097578;
170;0,085532;0,027707;0,028009;0,020781;0,048789;0,09035;
171;0,087038;0,024997;0,027406;0,02048;0,046982;0,092459;
172;0,088544;0,026502;0,02861;0,021082;0,047585;0,098482;
173;0,090952;0,02831;0,033731;0,024395;0,049391;0,090049;
174;0,090049;0,027707;0,028912;0,020781;0,048789;0,090953;
175;0,095772;0,030116;0,02831;0,021082;0,049994;0,104204;
176;0,091856;0,028008;0,028912;0,021081;0,050597;0,114443;
177;0,093663;0,028611;0,027707;0,020781;0,049693;0,099987;
178;0,093964;0,028611;0,028912;0,021082;0,052704;0,106312;
179;0,096675;0,031623;0,028912;0,02048;0,052704;0,107818;
180;0,09818;0,032225;0,029515;0,021985;0,052704;0,102096;
181;0,096373;0,029515;0,028008;0,021684;0,0515;0,103602;
182;0,096675;0,03102;0,02831;0,021081;0,052705;0,101493;
183;0,097277;0,032225;0,029213;0,022287;0,059631;0,103301;
